,club_id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transform_record,foriegners
41,c-2990,Académica Coimbra,n-136,,,Estádio Cidade de Coimbra,26,25.3,0,150000.0,6
42,c-1436,SC Beira-Mar,n-136,,,Estádio Mário Duarte,27,26.8,1,0.0,6
43,c-1465,GD Estoril Praia,n-136,,22.43m,Estádio António Coimbra da Mota,29,24.4,2,6740000.0,14
44,c-4750,SC Olhanense,n-136,,,Estádio José Arcanjo,21,23.0,0,0.0,10
45,c-2424,Gil Vicente FC,n-136,,28.55m,Estádio Cidade de Barcelos,25,25.7,4,5350000.0,17
46,c-1085,Vitória Setúbal FC,n-136,,375k,Estádio do Bonfim,29,26.0,0,0.0,10
47,c-979,Moreirense FC,n-136,,9.73m,E. C. J. de Almeida Freitas,25,26.6,1,1000000.0,16
48,c-294,SL Benfica,n-136,,313.00m,Estádio da Luz,24,25.0,10,148170000.0,14
49,c-720,FC Porto,n-136,,279.30m,Estádio do Dragão,28,26.6,9,35740000.0,15
50,c-336,Sporting CP,n-136,,234.50m,Estádio José Alvalade XXI,33,24.5,7,71530000.0,16
51,c-1075,SC Braga,n-136,,111.30m,Estádio Municipal de Braga,25,25.9,3,48730000.0,14
52,c-2425,Rio Ave FC,n-136,,12.88m,Estádio dos Arcos,24,27.4,0,600000.0,12
53,c-2420,Vitória Guimarães SC,n-136,,39.50m,Estádio D. Afonso Henriques,29,24.1,4,13490000.0,12
54,c-982,CD Nacional,n-136,,5.28m,Estádio da Madeira,27,25.0,2,0.0,12
55,c-1301,CS Marítimo,n-136,,16.75m,Estádio do Marítimo,29,26.6,4,-750000.0,18
56,c-1465,GD Estoril Praia,n-136,,22.43m,Estádio António Coimbra da Mota,29,24.4,2,6740000.0,14
57,c-2995,FC Paços de Ferreira,n-136,,15.38m,Estádio Capital do Móvel,28,25.7,2,4960000.0,12
58,c-2990,Académica Coimbra,n-136,,,Estádio Cidade de Coimbra,26,25.3,0,150000.0,6
59,c-68608,CF Os Belenenses,n-136,,,Estádio do Restelo,30,25.7,0,0.0,5
60,c-2424,Gil Vicente FC,n-136,,28.55m,Estádio Cidade de Barcelos,25,25.7,4,5350000.0,17
61,c-1085,Vitória Setúbal FC,n-136,,375k,Estádio do Bonfim,29,26.0,0,0.0,10
62,c-8024,FC Arouca,n-136,,15.30m,Estádio Municipal de Arouca,27,25.9,2,4000000.0,21
63,c-4750,SC Olhanense,n-136,,,Estádio José Arcanjo,21,23.0,0,0.0,10
64,c-720,FC Porto,n-136,,279.30m,Estádio do Dragão,28,26.6,9,35740000.0,15
65,c-294,SL Benfica,n-136,,313.00m,Estádio da Luz,24,25.0,10,148170000.0,14
66,c-336,Sporting CP,n-136,,234.50m,Estádio José Alvalade XXI,33,24.5,7,71530000.0,16
67,c-1075,SC Braga,n-136,,111.30m,Estádio Municipal de Braga,25,25.9,3,48730000.0,14
68,c-2420,Vitória Guimarães SC,n-136,,39.50m,Estádio D. Afonso Henriques,29,24.1,4,13490000.0,12
69,c-2425,Rio Ave FC,n-136,,12.88m,Estádio dos Arcos,24,27.4,0,600000.0,12
70,c-1465,GD Estoril Praia,n-136,,22.43m,Estádio António Coimbra da Mota,29,24.4,2,6740000.0,14
71,c-982,CD Nacional,n-136,,5.28m,Estádio da Madeira,27,25.0,2,0.0,12
72,c-1301,CS Marítimo,n-136,,16.75m,Estádio do Marítimo,29,26.6,4,-750000.0,18
73,c-68608,CF Os Belenenses,n-136,,,Estádio do Restelo,30,25.7,0,0.0,5
74,c-2424,Gil Vicente FC,n-136,,28.55m,Estádio Cidade de Barcelos,25,25.7,4,5350000.0,17
75,c-2995,FC Paços de Ferreira,n-136,,15.38m,Estádio Capital do Móvel,28,25.7,2,4960000.0,12
76,c-8024,FC Arouca,n-136,,15.30m,Estádio Municipal de Arouca,27,25.9,2,4000000.0,21
77,c-2990,Académica Coimbra,n-136,,,Estádio Cidade de Coimbra,26,25.3,0,150000.0,6
78,c-979,Moreirense FC,n-136,,9.73m,E. C. J. de Almeida Freitas,25,26.6,1,1000000.0,16
79,c-1085,Vitória Setúbal FC,n-136,,375k,Estádio do Bonfim,29,26.0,0,0.0,10
80,c-3327,FC Penafiel,n-136,,6.18m,Estádio Municipal 25 de Abril,28,27.9,0,0.0,4
81,c-2503,Boavista FC,n-136,,20.45m,Estádio do Bessa Sec. XXI,28,25.6,8,12250000.0,16
82,c-720,FC Porto,n-136,,279.30m,Estádio do Dragão,28,26.6,9,35740000.0,15
83,c-294,SL Benfica,n-136,,313.00m,Estádio da Luz,24,25.0,10,148170000.0,14
84,c-336,Sporting CP,n-136,,234.50m,Estádio José Alvalade XXI,33,24.5,7,71530000.0,16
85,c-1075,SC Braga,n-136,,111.30m,Estádio Municipal de Braga,25,25.9,3,48730000.0,14
86,c-2420,Vitória Guimarães SC,n-136,,39.50m,Estádio D. Afonso Henriques,29,24.1,4,13490000.0,12
87,c-2425,Rio Ave FC,n-136,,12.88m,Estádio dos Arcos,24,27.4,0,600000.0,12
88,c-68608,CF Os Belenenses,n-136,,,Estádio do Restelo,30,25.7,0,0.0,5
89,c-1465,GD Estoril Praia,n-136,,22.43m,Estádio António Coimbra da Mota,29,24.4,2,6740000.0,14
90,c-2995,FC Paços de Ferreira,n-136,,15.38m,Estádio Capital do Móvel,28,25.7,2,4960000.0,12
91,c-1301,CS Marítimo,n-136,,16.75m,Estádio do Marítimo,29,26.6,4,-750000.0,18
92,c-8024,FC Arouca,n-136,,15.30m,Estádio Municipal de Arouca,27,25.9,2,4000000.0,21
93,c-1085,Vitória Setúbal FC,n-136,,375k,Estádio do Bonfim,29,26.0,0,0.0,10
94,c-982,CD Nacional,n-136,,5.28m,Estádio da Madeira,27,25.0,2,0.0,12
95,c-2990,Académica Coimbra,n-136,,,Estádio Cidade de Coimbra,26,25.3,0,150000.0,6
96,c-2503,Boavista FC,n-136,,20.45m,Estádio do Bessa Sec. XXI,28,25.6,8,12250000.0,16
97,c-979,Moreirense FC,n-136,,9.73m,E. C. J. de Almeida Freitas,25,26.6,1,1000000.0,16
98,c-7179,CD Tondela,n-136,,7.25m,Estádio João Cardoso,26,22.8,2,50000.0,12
99,c-976,CF União Madeira (-2021),n-136,,,Centro Desportivo da Madeira,0,,0,0.0,
100,c-336,Sporting CP,n-136,,234.50m,Estádio José Alvalade XXI,33,24.5,7,71530000.0,16
101,c-294,SL Benfica,n-136,,313.00m,Estádio da Luz,24,25.0,10,148170000.0,14
102,c-720,FC Porto,n-136,,279.30m,Estádio do Dragão,28,26.6,9,35740000.0,15
103,c-1075,SC Braga,n-136,,111.30m,Estádio Municipal de Braga,25,25.9,3,48730000.0,14
104,c-2420,Vitória Guimarães SC,n-136,,39.50m,Estádio D. Afonso Henriques,29,24.1,4,13490000.0,12
105,c-2425,Rio Ave FC,n-136,,12.88m,Estádio dos Arcos,24,27.4,0,600000.0,12
106,c-68608,CF Os Belenenses,n-136,,,Estádio do Restelo,30,25.7,0,0.0,5
107,c-1085,Vitória Setúbal FC,n-136,,375k,Estádio do Bonfim,29,26.0,0,0.0,10
108,c-1465,GD Estoril Praia,n-136,,22.43m,Estádio António Coimbra da Mota,29,24.4,2,6740000.0,14
109,c-1301,CS Marítimo,n-136,,16.75m,Estádio do Marítimo,29,26.6,4,-750000.0,18
110,c-2503,Boavista FC,n-136,,20.45m,Estádio do Bessa Sec. XXI,28,25.6,8,12250000.0,16
111,c-3325,GD Chaves,n-136,,11.83m,Estádio Municipal Eng.º Manuel Branco Teixeira,27,26.4,3,4500000.0,17
112,c-979,Moreirense FC,n-136,,9.73m,E. C. J. de Almeida Freitas,25,26.6,1,1000000.0,16
113,c-8024,FC Arouca,n-136,,15.30m,Estádio Municipal de Arouca,27,25.9,2,4000000.0,21
114,c-2995,FC Paços de Ferreira,n-136,,15.38m,Estádio Capital do Móvel,28,25.7,2,4960000.0,12
115,c-982,CD Nacional,n-136,,5.28m,Estádio da Madeira,27,25.0,2,0.0,12
116,c-3349,CD Feirense,n-136,,6.03m,Estádio Marcolino de Castro,24,25.0,2,325000.0,11
117,c-7179,CD Tondela,n-136,,7.25m,Estádio João Cardoso,26,22.8,2,50000.0,12
118,c-720,FC Porto,n-136,,279.30m,Estádio do Dragão,28,26.6,9,35740000.0,15
119,c-336,Sporting CP,n-136,,234.50m,Estádio José Alvalade XXI,33,24.5,7,71530000.0,16
120,c-294,SL Benfica,n-136,,313.00m,Estádio da Luz,24,25.0,10,148170000.0,14
121,c-1075,SC Braga,n-136,,111.30m,Estádio Municipal de Braga,25,25.9,3,48730000.0,14
122,c-2420,Vitória Guimarães SC,n-136,,39.50m,Estádio D. Afonso Henriques,29,24.1,4,13490000.0,12
123,c-7378,Portimonense SC,n-136,,19.75m,Portimonense Estádio,32,25.2,3,12100000.0,23
124,c-2425,Rio Ave FC,n-136,,12.88m,Estádio dos Arcos,24,27.4,0,600000.0,12
125,c-1301,CS Marítimo,n-136,,16.75m,Estádio do Marítimo,29,26.6,4,-750000.0,18
126,c-1465,GD Estoril Praia,n-136,,22.43m,Estádio António Coimbra da Mota,29,24.4,2,6740000.0,14
127,c-1085,Vitória Setúbal FC,n-136,,375k,Estádio do Bonfim,29,26.0,0,0.0,10
128,c-3325,GD Chaves,n-136,,11.83m,Estádio Municipal Eng.º Manuel Branco Teixeira,27,26.4,3,4500000.0,17
129,c-68608,CF Os Belenenses,n-136,,,Estádio do Restelo,30,25.7,0,0.0,5
130,c-979,Moreirense FC,n-136,,9.73m,E. C. J. de Almeida Freitas,25,26.6,1,1000000.0,16
