,club_id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transform_record,foriegners
1013,c-1147,AC Ajaccio,n-50,"Mar 1, 1910",27.15m,Stade François-Coty,30,28.4,9,300000.0,15
1014,c-131,FC Barcelona,n-157,,767.00m,Spotify Camp Nou,22,25.5,17,-118500000.0,9
1015,c-418,Real Madrid,n-157,,860.50m,Santiago Bernabéu,24,27.6,16,12150000.0,17
1016,c-13,Atlético de Madrid,n-157,,457.00m,Civitas Metropolitano,22,28.6,16,-9250000.0,15
1017,c-1049,Valencia CF,n-157,,225.65m,Mestalla,26,25.0,9,42100000.0,14
1018,c-368,Sevilla FC,n-157,,209.00m,Ramón Sánchez-Pizjuán,24,28.8,9,62100000.0,18
1019,c-1050,Villarreal CF,n-157,,278.20m,La Cerámica,23,28.4,8,25120000.0,9
1020,c-621,Athletic Bilbao,n-157,,226.30m,San Mamés,25,27.8,4,0.0,1
1021,c-714,RCD Espanyol Barcelona,n-157,,113.70m,RCDE Stadium,27,26.1,5,-5800000.0,7
1022,c-3302,UD Almería,n-157,,93.60m,Power Horse Stadium,26,26.2,3,-14880000.0,13
1023,c-1084,Málaga CF,n-157,,18.50m,La Rosaleda,27,28.0,0,950000.0,8
1024,c-681,Real Sociedad,n-157,,376.00m,Reale Arena ,27,25.4,6,27500000.0,5
1025,c-3709,Getafe CF,n-157,,136.70m,Coliseum Alfonso Pérez,25,27.8,9,4750000.0,12
1026,c-897,Deportivo de La Coruña,n-157,,8.90m,Abanca Riazor,24,27.7,0,-435000.0,3
1027,c-630,Racing Santander,n-157,,12.80m,El Sardinero,26,26.8,0,5000000.0,5
1028,c-331,CA Osasuna,n-157,,127.70m,El Sadar,22,27.9,3,-2000000.0,4
1029,c-142,Real Zaragoza,n-157,,29.40m,La Romareda,27,26.0,3,1500000.0,9
1030,c-237,RCD Mallorca,n-157,,93.60m,Mallorca Son Moix,24,27.9,9,-8320000.0,13
1031,c-2448,Sporting Gijón,n-157,,27.20m,El Molinón - Enrique Castro Quini,28,26.2,2,5230000.0,10
1032,c-7971,Hércules CF,n-157,,4.08m,José Rico Pérez,26,26.0,0,0.0,5
1033,c-3368,Levante UD,n-157,,41.60m,Ciutat de València,23,27.5,0,7800000.0,6
1034,c-131,FC Barcelona,n-157,,767.00m,Spotify Camp Nou,22,25.5,17,-118500000.0,9
1035,c-418,Real Madrid,n-157,,860.50m,Santiago Bernabéu,24,27.6,16,12150000.0,17
1036,c-13,Atlético de Madrid,n-157,,457.00m,Civitas Metropolitano,22,28.6,16,-9250000.0,15
1037,c-1049,Valencia CF,n-157,,225.65m,Mestalla,26,25.0,9,42100000.0,14
1038,c-621,Athletic Bilbao,n-157,,226.30m,San Mamés,25,27.8,4,0.0,1
1039,c-1050,Villarreal CF,n-157,,278.20m,La Cerámica,23,28.4,8,25120000.0,9
1040,c-368,Sevilla FC,n-157,,209.00m,Ramón Sánchez-Pizjuán,24,28.8,9,62100000.0,18
1041,c-1084,Málaga CF,n-157,,18.50m,La Rosaleda,27,28.0,0,950000.0,8
1042,c-714,RCD Espanyol Barcelona,n-157,,113.70m,RCDE Stadium,27,26.1,5,-5800000.0,7
1043,c-681,Real Sociedad,n-157,,376.00m,Reale Arena ,27,25.4,6,27500000.0,5
1044,c-3709,Getafe CF,n-157,,136.70m,Coliseum Alfonso Pérez,25,27.8,9,4750000.0,12
1045,c-237,RCD Mallorca,n-157,,93.60m,Mallorca Son Moix,24,27.9,9,-8320000.0,13
1046,c-142,Real Zaragoza,n-157,,29.40m,La Romareda,27,26.0,3,1500000.0,9
1047,c-16795,Granada CF,n-157,,47.00m,Nuevo Los Cármenes,28,28.0,3,27460000.0,8
1048,c-2448,Sporting Gijón,n-157,,27.20m,El Molinón - Enrique Castro Quini,28,26.2,2,5230000.0,10
1049,c-150,Real Betis Balompié,n-157,,252.50m,Benito Villamarín,26,29.0,9,-10250000.0,13
1050,c-367,Rayo Vallecano,n-157,,95.20m,Campo de Fútbol de Vallecas,25,28.8,6,-11100000.0,8
1051,c-331,CA Osasuna,n-157,,127.70m,El Sadar,22,27.9,3,-2000000.0,4
1052,c-630,Racing Santander,n-157,,12.80m,El Sardinero,26,26.8,0,5000000.0,5
1053,c-3368,Levante UD,n-157,,41.60m,Ciutat de València,23,27.5,0,7800000.0,6
1054,c-131,FC Barcelona,n-157,,767.00m,Spotify Camp Nou,22,25.5,17,-118500000.0,9
1055,c-418,Real Madrid,n-157,,860.50m,Santiago Bernabéu,24,27.6,16,12150000.0,17
1056,c-13,Atlético de Madrid,n-157,,457.00m,Civitas Metropolitano,22,28.6,16,-9250000.0,15
1057,c-1049,Valencia CF,n-157,,225.65m,Mestalla,26,25.0,9,42100000.0,14
1058,c-368,Sevilla FC,n-157,,209.00m,Ramón Sánchez-Pizjuán,24,28.8,9,62100000.0,18
1059,c-1084,Málaga CF,n-157,,18.50m,La Rosaleda,27,28.0,0,950000.0,8
1060,c-621,Athletic Bilbao,n-157,,226.30m,San Mamés,25,27.8,4,0.0,1
1061,c-681,Real Sociedad,n-157,,376.00m,Reale Arena ,27,25.4,6,27500000.0,5
1062,c-16795,Granada CF,n-157,,47.00m,Nuevo Los Cármenes,28,28.0,3,27460000.0,8
1063,c-3709,Getafe CF,n-157,,136.70m,Coliseum Alfonso Pérez,25,27.8,9,4750000.0,12
1064,c-150,Real Betis Balompié,n-157,,252.50m,Benito Villamarín,26,29.0,9,-10250000.0,13
1065,c-714,RCD Espanyol Barcelona,n-157,,113.70m,RCDE Stadium,27,26.1,5,-5800000.0,7
1066,c-367,Rayo Vallecano,n-157,,95.20m,Campo de Fútbol de Vallecas,25,28.8,6,-11100000.0,8
1067,c-940,Celta de Vigo,n-157,,146.20m,Abanca Balaídos,23,26.4,6,-5150000.0,10
1068,c-237,RCD Mallorca,n-157,,93.60m,Mallorca Son Moix,24,27.9,9,-8320000.0,13
1069,c-142,Real Zaragoza,n-157,,29.40m,La Romareda,27,26.0,3,1500000.0,9
1070,c-331,CA Osasuna,n-157,,127.70m,El Sadar,22,27.9,3,-2000000.0,4
1071,c-897,Deportivo de La Coruña,n-157,,8.90m,Abanca Riazor,24,27.7,0,-435000.0,3
1072,c-3368,Levante UD,n-157,,41.60m,Ciutat de València,23,27.5,0,7800000.0,6
1073,c-366,Real Valladolid CF,n-157,,76.60m,Nuevo José Zorrilla,24,28.0,6,-5000000.0,10
1074,c-418,Real Madrid,n-157,,860.50m,Santiago Bernabéu,24,27.6,16,12150000.0,17
1075,c-131,FC Barcelona,n-157,,767.00m,Spotify Camp Nou,22,25.5,17,-118500000.0,9
1076,c-13,Atlético de Madrid,n-157,,457.00m,Civitas Metropolitano,22,28.6,16,-9250000.0,15
1077,c-1049,Valencia CF,n-157,,225.65m,Mestalla,26,25.0,9,42100000.0,14
1078,c-368,Sevilla FC,n-157,,209.00m,Ramón Sánchez-Pizjuán,24,28.8,9,62100000.0,18
1079,c-681,Real Sociedad,n-157,,376.00m,Reale Arena ,27,25.4,6,27500000.0,5
1080,c-621,Athletic Bilbao,n-157,,226.30m,San Mamés,25,27.8,4,0.0,1
1081,c-1050,Villarreal CF,n-157,,278.20m,La Cerámica,23,28.4,8,25120000.0,9
1082,c-1084,Málaga CF,n-157,,18.50m,La Rosaleda,27,28.0,0,950000.0,8
1083,c-150,Real Betis Balompié,n-157,,252.50m,Benito Villamarín,26,29.0,9,-10250000.0,13
1084,c-16795,Granada CF,n-157,,47.00m,Nuevo Los Cármenes,28,28.0,3,27460000.0,8
1085,c-3709,Getafe CF,n-157,,136.70m,Coliseum Alfonso Pérez,25,27.8,9,4750000.0,12
1086,c-714,RCD Espanyol Barcelona,n-157,,113.70m,RCDE Stadium,27,26.1,5,-5800000.0,7
1087,c-940,Celta de Vigo,n-157,,146.20m,Abanca Balaídos,23,26.4,6,-5150000.0,10
1088,c-367,Rayo Vallecano,n-157,,95.20m,Campo de Fútbol de Vallecas,25,28.8,6,-11100000.0,8
1089,c-1531,Elche CF,n-157,,60.70m,Manuel Martínez Valero,26,27.7,2,-7660000.0,10
1090,c-3368,Levante UD,n-157,,41.60m,Ciutat de València,23,27.5,0,7800000.0,6
1091,c-331,CA Osasuna,n-157,,127.70m,El Sadar,22,27.9,3,-2000000.0,4
1092,c-366,Real Valladolid CF,n-157,,76.60m,Nuevo José Zorrilla,24,28.0,6,-5000000.0,10
1093,c-3302,UD Almería,n-157,,93.60m,Power Horse Stadium,26,26.2,3,-14880000.0,13
1094,c-418,Real Madrid,n-157,,860.50m,Santiago Bernabéu,24,27.6,16,12150000.0,17
1095,c-131,FC Barcelona,n-157,,767.00m,Spotify Camp Nou,22,25.5,17,-118500000.0,9
1096,c-13,Atlético de Madrid,n-157,,457.00m,Civitas Metropolitano,22,28.6,16,-9250000.0,15
