id,name,country_id,foundation_date,value,stadium,squad_size,average_age,national_players,current_transfer_record,foreigners,season,market_value,league_id
c-16196,,,,,,,,,,,,,
c-7077,,,,,,,,,,,,,
c-2923,,,,,,,,,,,,,
c-3803,,,,,,,,,,,,,
c-8506,,,,,,,,,,,,,
c-52541,,,,,,,,,,,,,
c-6676,,,,,,,,,,,,,
c-606,,,,,,,,,,,,,
c-13805,,,,,,,,,,,,,
c-12502,,,,,,,,,,,,,
c-42039,,,,,,,,,,,,,
c-15447,,,,,,,,,,,,,
c-21957,,,,,,,,,,,,,
c-11646,,,,,,,,,,,,,
c-25679,,,,,,,,,,,,,
c-666,,,,,,,,,,,,,
c-16492,,,,,,,,,,,,,
c-2867,,,,,,,,,,,,,
c-7052,,,,,,,,,,,,,
c-75083,,,,,,,,,,,,,
c-11000,,,,,,,,,,,,,
c-17676,,,,,,,,,,,,,
c-70300,,,,,,,,,,,,,
c-25462,,,,,,,,,,,,,
c-16055,,,,,,,,,,,,,
c-17686,,,,,,,,,,,,,
c-9478,,,,,,,,,,,,,
c-58956,,,,,,,,,,,,,
c-70321,,,,,,,,,,,,,
c-26132,,,,,,,,,,,,,
c-34549,,,,,,,,,,,,,
c-60398,,,,,,,,,,,,,
c-29095,,,,,,,,,,,,,
c-16902,,,,,,,,,,,,,
c-45277,,,,,,,,,,,,,
c-37474,,,,,,,,,,,,,
c-7209,,,,,,,,,,,,,
c-3234,,,,,,,,,,,,,
c-16441,,,,,,,,,,,,,
c-20132,,,,,,,,,,,,,
c-3876,,,,,,,,,,,,,
c-4064,,,,,,,,,,,,,
c-11738,,,,,,,,,,,,,
c-13225,,,,,,,,,,,,,
c-11972,,,,,,,,,,,,,
c-12853,,,,,,,,,,,,,
c-11615,,,,,,,,,,,,,
c-10200,,,,,,,,,,,,,
c-30696,,,,,,,,,,,,,
c-18446,,,,,,,,,,,,,
c-20277,,,,,,,,,,,,,
c-39822,,,,,,,,,,,,,
c-13711,,,,,,,,,,,,,
c-44098,,,,,,,,,,,,,
c-26007,,,,,,,,,,,,,
c-34118,,,,,,,,,,,,,
c-16200,,,,,,,,,,,,,
c-2156,,,,,,,,,,,,,
c-11245,,,,,,,,,,,,,
c-1011,,,,,,,,,,,,,
c-11674,,,,,,,,,,,,,
c-32041,,,,,,,,,,,,,
c-37993,,,,,,,,,,,,,
c-1176,,,,,,,,,,,,,
c-679,,,,,,,,,,,,,
c-10732,,,,,,,,,,,,,
c-62679,,,,,,,,,,,,,
c-15368,,,,,,,,,,,,,
c-21354,,,,,,,,,,,,,
c-36060,,,,,,,,,,,,,
c-4542,,,,,,,,,,,,,
c-12405,,,,,,,,,,,,,
c-11617,,,,,,,,,,,,,
c-25688,,,,,,,,,,,,,
c-28863,,,,,,,,,,,,,
c-8510,,,,,,,,,,,,,
c-15080,,,,,,,,,,,,,
c-20201,,,,,,,,,,,,,
