id,name,teams_number,market_value,players_number,avg_age,foreigners,country_id
verbandsliga-sachsen-anhalt,VL Sachsen-Anhalt,,,,,,40
verbandsliga-sudbaden-beta-,VL Südbaden,,,,,,40
verbandsliga-sudwest,VL Südwest,,,,,,40
westfalenliga-1,Westfalenliga 1,,,,,,40
westfalenliga-2,Westfalenliga 2,,,,,,40
landesliga-bayern-sudwest,LL Bayern-S/W,,,,,,40
landesliga-hansa,Landesliga Hansa,,,,,,40
landesliga-hammonia,Landesliga Hammonia,,,,,,40
dfb-pokal-der-junioren,DFB-Pokal der Junioren,,,,,,40
relegation-1-bundesliga,Bundesliga Playoffs,,,,,,40
relegation-2-bundesliga,Relegation 2. Bundesliga,,,,,,40
qualifikationsspiel-zum-dfb-pokal-flvw-,DFB-Pokal-Quali,,,,,,40
aufstiegsrunde-zur-3-liga,Aufstiegsrunde zur 3. Liga,,,,,,40
landespokal-mittelrhein,Mittelrheinpokal,,,,,,40
landespokal-sachsen,Sachsenpokal,,,,,,40
landespokal-wurttemberg,Württembergpokal,,,,,,40
landespokal-brandenburg,Brandenburgpokal,,,,,,40
landespokal-bremen,Bremenpokal,,,,,,40
landespokal-mecklenburg-vorpommern,Mecklenburg-Vorpommern-Pokal,,,,,,40
landespokal-niedersachsen-3-und-4-liga-,Niedersachsenpokal (3. und 4. Liga),,,,,,40
